name,category,url
How to use Numba CUDA JIT decorator Stack Overflow,Numba,https://stackoverflow.com/questions/78162405/how-to-use-numba-cuda-jit-decorator
Numba for CUDA GPUs Documentation,Numba,https://numba.pydata.org/numba-doc/dev/cuda/index.html
Introduction to CUDA Python with Numba Kaggle,Numba,https://www.kaggle.com/code/harshwalia/1-introduction-to-cuda-python-with-numba
A 5 minute guide to Numba,Numba,https://numba.readthedocs.io/en/stable/user/5minguide.html
Numba Examples Documentation,Numba,https://numba.readthedocs.io/en/stable/cuda/examples.html
Numba for CUDA Programmers GitHub PDF,Numba,https://raw.githubusercontent.com/numba/nvidia-cuda-tutorial/main/numba-for-cuda-programmers-complete.pdf
CuPy Array Library for GPU,CuPy,https://cupy.dev/
CuPy Documentation,CuPy,https://docs.cupy.dev/en/stable/
CuPy GitHub Repository,CuPy,https://github.com/cupy/cupy
CuPy Tutorial,CuPy,https://docs.cupy.dev/en/stable/user_guide/basic.html
JAX GPU Documentation,JAX,https://jax.readthedocs.io/en/latest/gpu_memory_allocation.html
JAX GitHub Repository,JAX,https://github.com/google/jax
